instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
290924293,1136423,BANKEX26JUL64900PE,"BANKEX",0,2026-07-30,64900,0.05,30,PE,BFO-OPT,BFO
293943813,1148218,BANKEX26JUL64900CE,"BANKEX",0,2026-07-30,64900,0.05,30,CE,BFO-OPT,BFO
291889413,1140193,BANKEX26JUL66100CE,"BANKEX",0,2026-07-30,66100,0.05,30,CE,BFO-OPT,BFO
294457861,1150226,BANKEX26JUL66100PE,"BANKEX",0,2026-07-30,66100,0.05,30,PE,BFO-OPT,BFO
291011589,1136764,BANKEX26JUL64800CE,"BANKEX",0,2026-07-30,64800,0.05,30,CE,BFO-OPT,BFO
291814917,1139902,BANKEX26JUL64800PE,"BANKEX",0,2026-07-30,64800,0.05,30,PE,BFO-OPT,BFO
290996485,1136705,BANKEX26JUL66200CE,"BANKEX",0,2026-07-30,66200,0.05,30,CE,BFO-OPT,BFO
291793669,1139819,BANKEX26JUL66200PE,"BANKEX",0,2026-07-30,66200,0.05,30,PE,BFO-OPT,BFO
293917957,1148117,BANKEX26JUL66300CE,"BANKEX",0,2026-07-30,66300,0.05,30,CE,BFO-OPT,BFO
215095301,840216,BANKEX26JUL72000CE,"BANKEX",0,2026-07-30,72000,0.05,30,CE,BFO-OPT,BFO
215124229,840329,BANKEX26JUL72000PE,"BANKEX",0,2026-07-30,72000,0.05,30,PE,BFO-OPT,BFO
215013893,839898,BANKEX26JUL71900CE,"BANKEX",0,2026-07-30,71900,0.05,30,CE,BFO-OPT,BFO
215038981,839996,BANKEX26JUL71900PE,"BANKEX",0,2026-07-30,71900,0.05,30,PE,BFO-OPT,BFO
215003909,839859,BANKEX26JUL71800PE,"BANKEX",0,2026-07-30,71800,0.05,30,PE,BFO-OPT,BFO
215041797,840007,BANKEX26JUL71800CE,"BANKEX",0,2026-07-30,71800,0.05,30,CE,BFO-OPT,BFO
215006469,839869,BANKEX26JUL71700CE,"BANKEX",0,2026-07-30,71700,0.05,30,CE,BFO-OPT,BFO
215032325,839970,BANKEX26JUL71700PE,"BANKEX",0,2026-07-30,71700,0.05,30,PE,BFO-OPT,BFO
215035653,839983,BANKEX26JUL71600CE,"BANKEX",0,2026-07-30,71600,0.05,30,CE,BFO-OPT,BFO
215063301,840091,BANKEX26JUL71600PE,"BANKEX",0,2026-07-30,71600,0.05,30,PE,BFO-OPT,BFO
214879237,839372,BANKEX26JUL71500CE,"BANKEX",0,2026-07-30,71500,0.05,30,CE,BFO-OPT,BFO
214906373,839478,BANKEX26JUL71500PE,"BANKEX",0,2026-07-30,71500,0.05,30,PE,BFO-OPT,BFO
214767877,838937,BANKEX26JUL71400CE,"BANKEX",0,2026-07-30,71400,0.05,30,CE,BFO-OPT,BFO
214798085,839055,BANKEX26JUL71400PE,"BANKEX",0,2026-07-30,71400,0.05,30,PE,BFO-OPT,BFO
214755077,838887,BANKEX26JUL71300PE,"BANKEX",0,2026-07-30,71300,0.05,30,PE,BFO-OPT,BFO
214802949,839074,BANKEX26JUL71300CE,"BANKEX",0,2026-07-30,71300,0.05,30,CE,BFO-OPT,BFO
214761221,838911,BANKEX26JUL71200CE,"BANKEX",0,2026-07-30,71200,0.05,30,CE,BFO-OPT,BFO
214788869,839019,BANKEX26JUL71200PE,"BANKEX",0,2026-07-30,71200,0.05,30,PE,BFO-OPT,BFO
214686469,838619,BANKEX26JUL71100PE,"BANKEX",0,2026-07-30,71100,0.05,30,PE,BFO-OPT,BFO
214794757,839042,BANKEX26JUL71100CE,"BANKEX",0,2026-07-30,71100,0.05,30,CE,BFO-OPT,BFO
214636037,838422,BANKEX26JUL71000CE,"BANKEX",0,2026-07-30,71000,0.05,30,CE,BFO-OPT,BFO
214652933,838488,BANKEX26JUL71000PE,"BANKEX",0,2026-07-30,71000,0.05,30,PE,BFO-OPT,BFO
214581253,838208,BANKEX26JUL70900CE,"BANKEX",0,2026-07-30,70900,0.05,30,CE,BFO-OPT,BFO
214600965,838285,BANKEX26JUL70900PE,"BANKEX",0,2026-07-30,70900,0.05,30,PE,BFO-OPT,BFO
214604293,838298,BANKEX26JUL70800CE,"BANKEX",0,2026-07-30,70800,0.05,30,CE,BFO-OPT,BFO
214624261,838376,BANKEX26JUL70800PE,"BANKEX",0,2026-07-30,70800,0.05,30,PE,BFO-OPT,BFO
214596357,838267,BANKEX26JUL70700PE,"BANKEX",0,2026-07-30,70700,0.05,30,PE,BFO-OPT,BFO
214664453,838533,BANKEX26JUL70700CE,"BANKEX",0,2026-07-30,70700,0.05,30,CE,BFO-OPT,BFO
214599685,838280,BANKEX26JUL70600CE,"BANKEX",0,2026-07-30,70600,0.05,30,CE,BFO-OPT,BFO
214619141,838356,BANKEX26JUL70600PE,"BANKEX",0,2026-07-30,70600,0.05,30,PE,BFO-OPT,BFO
214590469,838244,BANKEX26JUL70500PE,"BANKEX",0,2026-07-30,70500,0.05,30,PE,BFO-OPT,BFO
214622981,838371,BANKEX26JUL70500CE,"BANKEX",0,2026-07-30,70500,0.05,30,CE,BFO-OPT,BFO
214593285,838255,BANKEX26JUL70400CE,"BANKEX",0,2026-07-30,70400,0.05,30,CE,BFO-OPT,BFO
214612997,838332,BANKEX26JUL70400PE,"BANKEX",0,2026-07-30,70400,0.05,30,PE,BFO-OPT,BFO
214616837,838347,BANKEX26JUL70300CE,"BANKEX",0,2026-07-30,70300,0.05,30,CE,BFO-OPT,BFO
214635781,838421,BANKEX26JUL70300PE,"BANKEX",0,2026-07-30,70300,0.05,30,PE,BFO-OPT,BFO
214587141,838231,BANKEX26JUL70200CE,"BANKEX",0,2026-07-30,70200,0.05,30,CE,BFO-OPT,BFO
214606597,838307,BANKEX26JUL70200PE,"BANKEX",0,2026-07-30,70200,0.05,30,PE,BFO-OPT,BFO
295825669,1155569,BANKEX26JUL70100CE,"BANKEX",0,2026-07-30,70100,0.05,30,CE,BFO-OPT,BFO
296054277,1156462,BANKEX26JUL70100PE,"BANKEX",0,2026-07-30,70100,0.05,30,PE,BFO-OPT,BFO
295533317,1154427,BANKEX26JUL70000CE,"BANKEX",0,2026-07-30,70000,0.05,30,CE,BFO-OPT,BFO
295713541,1155131,BANKEX26JUL70000PE,"BANKEX",0,2026-07-30,70000,0.05,30,PE,BFO-OPT,BFO
295710469,1155119,BANKEX26JUL69900CE,"BANKEX",0,2026-07-30,69900,0.05,30,CE,BFO-OPT,BFO
295962117,1156102,BANKEX26JUL69900PE,"BANKEX",0,2026-07-30,69900,0.05,30,PE,BFO-OPT,BFO
295991045,1156215,BANKEX26JUL69800CE,"BANKEX",0,2026-07-30,69800,0.05,30,CE,BFO-OPT,BFO
296185093,1156973,BANKEX26JUL69800PE,"BANKEX",0,2026-07-30,69800,0.05,30,PE,BFO-OPT,BFO
295891973,1155828,BANKEX26JUL69700PE,"BANKEX",0,2026-07-30,69700,0.05,30,PE,BFO-OPT,BFO
296209925,1157070,BANKEX26JUL69700CE,"BANKEX",0,2026-07-30,69700,0.05,30,CE,BFO-OPT,BFO
295935749,1155999,BANKEX26JUL69600CE,"BANKEX",0,2026-07-30,69600,0.05,30,CE,BFO-OPT,BFO
296132869,1156769,BANKEX26JUL69600PE,"BANKEX",0,2026-07-30,69600,0.05,30,PE,BFO-OPT,BFO
295821317,1155552,BANKEX26JUL69500PE,"BANKEX",0,2026-07-30,69500,0.05,30,PE,BFO-OPT,BFO
296161541,1156881,BANKEX26JUL69500CE,"BANKEX",0,2026-07-30,69500,0.05,30,CE,BFO-OPT,BFO
295848197,1155657,BANKEX26JUL69400CE,"BANKEX",0,2026-07-30,69400,0.05,30,CE,BFO-OPT,BFO
296077317,1156552,BANKEX26JUL69400PE,"BANKEX",0,2026-07-30,69400,0.05,30,PE,BFO-OPT,BFO
296108037,1156672,BANKEX26JUL69300CE,"BANKEX",0,2026-07-30,69300,0.05,30,CE,BFO-OPT,BFO
296272645,1157315,BANKEX26JUL69300PE,"BANKEX",0,2026-07-30,69300,0.05,30,PE,BFO-OPT,BFO
295789317,1155427,BANKEX26JUL69200CE,"BANKEX",0,2026-07-30,69200,0.05,30,CE,BFO-OPT,BFO
296013573,1156303,BANKEX26JUL69200PE,"BANKEX",0,2026-07-30,69200,0.05,30,PE,BFO-OPT,BFO
296044549,1156424,BANKEX26JUL69100CE,"BANKEX",0,2026-07-30,69100,0.05,30,CE,BFO-OPT,BFO
296221701,1157116,BANKEX26JUL69100PE,"BANKEX",0,2026-07-30,69100,0.05,30,PE,BFO-OPT,BFO
295949317,1156052,BANKEX26JUL69000PE,"BANKEX",0,2026-07-30,69000,0.05,30,PE,BFO-OPT,BFO
296249349,1157224,BANKEX26JUL69000CE,"BANKEX",0,2026-07-30,69000,0.05,30,CE,BFO-OPT,BFO
295671557,1154967,BANKEX26JUL68900CE,"BANKEX",0,2026-07-30,68900,0.05,30,CE,BFO-OPT,BFO
296311301,1157466,BANKEX26JUL68900PE,"BANKEX",0,2026-07-30,68900,0.05,30,PE,BFO-OPT,BFO
294969349,1152224,BANKEX26JUL68800PE,"BANKEX",0,2026-07-30,68800,0.05,30,PE,BFO-OPT,BFO
295291397,1153482,BANKEX26JUL68800CE,"BANKEX",0,2026-07-30,68800,0.05,30,CE,BFO-OPT,BFO
291160581,1137346,BANKEX26JUL68700CE,"BANKEX",0,2026-07-30,68700,0.05,30,CE,BFO-OPT,BFO
291981829,1140554,BANKEX26JUL68700PE,"BANKEX",0,2026-07-30,68700,0.05,30,PE,BFO-OPT,BFO
290904581,1136346,BANKEX26JUL68600PE,"BANKEX",0,2026-07-30,68600,0.05,30,PE,BFO-OPT,BFO
293920773,1148128,BANKEX26JUL68600CE,"BANKEX",0,2026-07-30,68600,0.05,30,CE,BFO-OPT,BFO
290998277,1136712,BANKEX26JUL68500CE,"BANKEX",0,2026-07-30,68500,0.05,30,CE,BFO-OPT,BFO
291794437,1139822,BANKEX26JUL68500PE,"BANKEX",0,2026-07-30,68500,0.05,30,PE,BFO-OPT,BFO
293569797,1146757,BANKEX26JUL68400CE,"BANKEX",0,2026-07-30,68400,0.05,30,CE,BFO-OPT,BFO
294458885,1150230,BANKEX26JUL68400PE,"BANKEX",0,2026-07-30,68400,0.05,30,PE,BFO-OPT,BFO
291550725,1138870,BANKEX26JUL68300PE,"BANKEX",0,2026-07-30,68300,0.05,30,PE,BFO-OPT,BFO
294598405,1150775,BANKEX26JUL68300CE,"BANKEX",0,2026-07-30,68300,0.05,30,CE,BFO-OPT,BFO
291695621,1139436,BANKEX26JUL68200CE,"BANKEX",0,2026-07-30,68200,0.05,30,CE,BFO-OPT,BFO
294219269,1149294,BANKEX26JUL68200PE,"BANKEX",0,2026-07-30,68200,0.05,30,PE,BFO-OPT,BFO
291248133,1137688,BANKEX26JUL68100PE,"BANKEX",0,2026-07-30,68100,0.05,30,PE,BFO-OPT,BFO
294353669,1149819,BANKEX26JUL68100CE,"BANKEX",0,2026-07-30,68100,0.05,30,CE,BFO-OPT,BFO
291397893,1138273,BANKEX26JUL68000CE,"BANKEX",0,2026-07-30,68000,0.05,30,CE,BFO-OPT,BFO
292126725,1141120,BANKEX26JUL68000PE,"BANKEX",0,2026-07-30,68000,0.05,30,PE,BFO-OPT,BFO
292979461,1144451,BANKEX26JUL67900CE,"BANKEX",0,2026-07-30,67900,0.05,30,CE,BFO-OPT,BFO
293886469,1147994,BANKEX26JUL67900PE,"BANKEX",0,2026-07-30,67900,0.05,30,PE,BFO-OPT,BFO
291837701,1139991,BANKEX26JUL67800CE,"BANKEX",0,2026-07-30,67800,0.05,30,CE,BFO-OPT,BFO
292472069,1142469,BANKEX26JUL67800PE,"BANKEX",0,2026-07-30,67800,0.05,30,PE,BFO-OPT,BFO
292675077,1143262,BANKEX26JUL67700CE,"BANKEX",0,2026-07-30,67700,0.05,30,CE,BFO-OPT,BFO
293538821,1146636,BANKEX26JUL67700PE,"BANKEX",0,2026-07-30,67700,0.05,30,PE,BFO-OPT,BFO
291595781,1139046,BANKEX26JUL67600CE,"BANKEX",0,2026-07-30,67600,0.05,30,CE,BFO-OPT,BFO
292240133,1141563,BANKEX26JUL67600PE,"BANKEX",0,2026-07-30,67600,0.05,30,PE,BFO-OPT,BFO
292371205,1142075,BANKEX26JUL67500CE,"BANKEX",0,2026-07-30,67500,0.05,30,CE,BFO-OPT,BFO
293277701,1145616,BANKEX26JUL67500PE,"BANKEX",0,2026-07-30,67500,0.05,30,PE,BFO-OPT,BFO
292069893,1140898,BANKEX26JUL67400PE,"BANKEX",0,2026-07-30,67400,0.05,30,PE,BFO-OPT,BFO
293408005,1146125,BANKEX26JUL67400CE,"BANKEX",0,2026-07-30,67400,0.05,30,CE,BFO-OPT,BFO
292166661,1141276,BANKEX26JUL67300CE,"BANKEX",0,2026-07-30,67300,0.05,30,CE,BFO-OPT,BFO
293059589,1144764,BANKEX26JUL67300PE,"BANKEX",0,2026-07-30,67300,0.05,30,PE,BFO-OPT,BFO
293179141,1145231,BANKEX26JUL67200CE,"BANKEX",0,2026-07-30,67200,0.05,30,CE,BFO-OPT,BFO
294090245,1148790,BANKEX26JUL67200PE,"BANKEX",0,2026-07-30,67200,0.05,30,PE,BFO-OPT,BFO
291997701,1140616,BANKEX26JUL67100CE,"BANKEX",0,2026-07-30,67100,0.05,30,CE,BFO-OPT,BFO
292795141,1143731,BANKEX26JUL67100PE,"BANKEX",0,2026-07-30,67100,0.05,30,PE,BFO-OPT,BFO
292957701,1144366,BANKEX26JUL67000CE,"BANKEX",0,2026-07-30,67000,0.05,30,CE,BFO-OPT,BFO
293845253,1147833,BANKEX26JUL67000PE,"BANKEX",0,2026-07-30,67000,0.05,30,PE,BFO-OPT,BFO
291577093,1138973,BANKEX26JUL66900PE,"BANKEX",0,2026-07-30,66900,0.05,30,PE,BFO-OPT,BFO
294621957,1150867,BANKEX26JUL66900CE,"BANKEX",0,2026-07-30,66900,0.05,30,CE,BFO-OPT,BFO
293319941,1145781,BANKEX26JUL66800CE,"BANKEX",0,2026-07-30,66800,0.05,30,CE,BFO-OPT,BFO
294245893,1149398,BANKEX26JUL66800PE,"BANKEX",0,2026-07-30,66800,0.05,30,PE,BFO-OPT,BFO
291272965,1137785,BANKEX26JUL66700PE,"BANKEX",0,2026-07-30,66700,0.05,30,PE,BFO-OPT,BFO
294381573,1149928,BANKEX26JUL66700CE,"BANKEX",0,2026-07-30,66700,0.05,30,CE,BFO-OPT,BFO
291424005,1138375,BANKEX26JUL66600CE,"BANKEX",0,2026-07-30,66600,0.05,30,CE,BFO-OPT,BFO
294023685,1148530,BANKEX26JUL66600PE,"BANKEX",0,2026-07-30,66600,0.05,30,PE,BFO-OPT,BFO
291068165,1136985,BANKEX26JUL66500PE,"BANKEX",0,2026-07-30,66500,0.05,30,PE,BFO-OPT,BFO
294135557,1148967,BANKEX26JUL66500CE,"BANKEX",0,2026-07-30,66500,0.05,30,CE,BFO-OPT,BFO
291158277,1137337,BANKEX26JUL66400CE,"BANKEX",0,2026-07-30,66400,0.05,30,CE,BFO-OPT,BFO
291980549,1140549,BANKEX26JUL66400PE,"BANKEX",0,2026-07-30,66400,0.05,30,PE,BFO-OPT,BFO
290904325,1136345,BANKEX26JUL66300PE,"BANKEX",0,2026-07-30,66300,0.05,30,PE,BFO-OPT,BFO
293592581,1146846,BANKEX26JUL64700CE,"BANKEX",0,2026-07-30,64700,0.05,30,CE,BFO-OPT,BFO
294481669,1150319,BANKEX26JUL64700PE,"BANKEX",0,2026-07-30,64700,0.05,30,PE,BFO-OPT,BFO
291575813,1138968,BANKEX26JUL64600PE,"BANKEX",0,2026-07-30,64600,0.05,30,PE,BFO-OPT,BFO
294617605,1150850,BANKEX26JUL64600CE,"BANKEX",0,2026-07-30,64600,0.05,30,CE,BFO-OPT,BFO
291714565,1139510,BANKEX26JUL64500CE,"BANKEX",0,2026-07-30,64500,0.05,30,CE,BFO-OPT,BFO
294244613,1149393,BANKEX26JUL64500PE,"BANKEX",0,2026-07-30,64500,0.05,30,PE,BFO-OPT,BFO
291271429,1137779,BANKEX26JUL64400PE,"BANKEX",0,2026-07-30,64400,0.05,30,PE,BFO-OPT,BFO
294380293,1149923,BANKEX26JUL64400CE,"BANKEX",0,2026-07-30,64400,0.05,30,CE,BFO-OPT,BFO
291423493,1138373,BANKEX26JUL64300CE,"BANKEX",0,2026-07-30,64300,0.05,30,CE,BFO-OPT,BFO
292145157,1141192,BANKEX26JUL64300PE,"BANKEX",0,2026-07-30,64300,0.05,30,PE,BFO-OPT,BFO
291066373,1136978,BANKEX26JUL64200PE,"BANKEX",0,2026-07-30,64200,0.05,30,PE,BFO-OPT,BFO
294134021,1148961,BANKEX26JUL64200CE,"BANKEX",0,2026-07-30,64200,0.05,30,CE,BFO-OPT,BFO
291157765,1137335,BANKEX26JUL64100CE,"BANKEX",0,2026-07-30,64100,0.05,30,CE,BFO-OPT,BFO
291979013,1140543,BANKEX26JUL64100PE,"BANKEX",0,2026-07-30,64100,0.05,30,PE,BFO-OPT,BFO
290903045,1136340,BANKEX26JUL64000PE,"BANKEX",0,2026-07-30,64000,0.05,30,PE,BFO-OPT,BFO
292060933,1140863,BANKEX26JUL64000CE,"BANKEX",0,2026-07-30,64000,0.05,30,CE,BFO-OPT,BFO
291624965,1139160,BANKEX26JUL63900CE,"BANKEX",0,2026-07-30,63900,0.05,30,CE,BFO-OPT,BFO
292271621,1141686,BANKEX26JUL63900PE,"BANKEX",0,2026-07-30,63900,0.05,30,PE,BFO-OPT,BFO
292390149,1142149,BANKEX26JUL63800CE,"BANKEX",0,2026-07-30,63800,0.05,30,CE,BFO-OPT,BFO
293295877,1145687,BANKEX26JUL63800PE,"BANKEX",0,2026-07-30,63800,0.05,30,PE,BFO-OPT,BFO
292087301,1140966,BANKEX26JUL63700PE,"BANKEX",0,2026-07-30,63700,0.05,30,PE,BFO-OPT,BFO
293427973,1146203,BANKEX26JUL63700CE,"BANKEX",0,2026-07-30,63700,0.05,30,CE,BFO-OPT,BFO
292180485,1141330,BANKEX26JUL63600CE,"BANKEX",0,2026-07-30,63600,0.05,30,CE,BFO-OPT,BFO
293083653,1144858,BANKEX26JUL63600PE,"BANKEX",0,2026-07-30,63600,0.05,30,PE,BFO-OPT,BFO
293193733,1145288,BANKEX26JUL63500CE,"BANKEX",0,2026-07-30,63500,0.05,30,CE,BFO-OPT,BFO
294115077,1148887,BANKEX26JUL63500PE,"BANKEX",0,2026-07-30,63500,0.05,30,PE,BFO-OPT,BFO
292010501,1140666,BANKEX26JUL63400CE,"BANKEX",0,2026-07-30,63400,0.05,30,CE,BFO-OPT,BFO
292835589,1143889,BANKEX26JUL63400PE,"BANKEX",0,2026-07-30,63400,0.05,30,PE,BFO-OPT,BFO
292975365,1144435,BANKEX26JUL63300CE,"BANKEX",0,2026-07-30,63300,0.05,30,CE,BFO-OPT,BFO
293877765,1147960,BANKEX26JUL63300PE,"BANKEX",0,2026-07-30,63300,0.05,30,PE,BFO-OPT,BFO
292467717,1142452,BANKEX26JUL63200PE,"BANKEX",0,2026-07-30,63200,0.05,30,PE,BFO-OPT,BFO
294015749,1148499,BANKEX26JUL63200CE,"BANKEX",0,2026-07-30,63200,0.05,30,CE,BFO-OPT,BFO
292670981,1143246,BANKEX26JUL63100CE,"BANKEX",0,2026-07-30,63100,0.05,30,CE,BFO-OPT,BFO
293536005,1146625,BANKEX26JUL63100PE,"BANKEX",0,2026-07-30,63100,0.05,30,PE,BFO-OPT,BFO
293702149,1147274,BANKEX26JUL63000CE,"BANKEX",0,2026-07-30,63000,0.05,30,CE,BFO-OPT,BFO
294564613,1150643,BANKEX26JUL63000PE,"BANKEX",0,2026-07-30,63000,0.05,30,PE,BFO-OPT,BFO
291454213,1138493,BANKEX26JUL62900CE,"BANKEX",0,2026-07-30,62900,0.05,30,CE,BFO-OPT,BFO
294048517,1148627,BANKEX26JUL62900PE,"BANKEX",0,2026-07-30,62900,0.05,30,PE,BFO-OPT,BFO
291083013,1137043,BANKEX26JUL62800PE,"BANKEX",0,2026-07-30,62800,0.05,30,PE,BFO-OPT,BFO
294155525,1149045,BANKEX26JUL62800CE,"BANKEX",0,2026-07-30,62800,0.05,30,CE,BFO-OPT,BFO
291176709,1137409,BANKEX26JUL62700CE,"BANKEX",0,2026-07-30,62700,0.05,30,CE,BFO-OPT,BFO
291996421,1140611,BANKEX26JUL62700PE,"BANKEX",0,2026-07-30,62700,0.05,30,PE,BFO-OPT,BFO
290922501,1136416,BANKEX26JUL62600PE,"BANKEX",0,2026-07-30,62600,0.05,30,PE,BFO-OPT,BFO
293942277,1148212,BANKEX26JUL62600CE,"BANKEX",0,2026-07-30,62600,0.05,30,CE,BFO-OPT,BFO
291010821,1136761,BANKEX26JUL62500CE,"BANKEX",0,2026-07-30,62500,0.05,30,CE,BFO-OPT,BFO
291813125,1139895,BANKEX26JUL62500PE,"BANKEX",0,2026-07-30,62500,0.05,30,PE,BFO-OPT,BFO
291911941,1140281,BANKEX26JUL62400CE,"BANKEX",0,2026-07-30,62400,0.05,30,CE,BFO-OPT,BFO
294478085,1150305,BANKEX26JUL62400PE,"BANKEX",0,2026-07-30,62400,0.05,30,PE,BFO-OPT,BFO
291574277,1138962,BANKEX26JUL62300PE,"BANKEX",0,2026-07-30,62300,0.05,30,PE,BFO-OPT,BFO
294617093,1150848,BANKEX26JUL62300CE,"BANKEX",0,2026-07-30,62300,0.05,30,CE,BFO-OPT,BFO
291713029,1139504,BANKEX26JUL62200CE,"BANKEX",0,2026-07-30,62200,0.05,30,CE,BFO-OPT,BFO
292337925,1141945,BANKEX26JUL62200PE,"BANKEX",0,2026-07-30,62200,0.05,30,PE,BFO-OPT,BFO
291269381,1137771,BANKEX26JUL62100PE,"BANKEX",0,2026-07-30,62100,0.05,30,PE,BFO-OPT,BFO
294379013,1149918,BANKEX26JUL62100CE,"BANKEX",0,2026-07-30,62100,0.05,30,CE,BFO-OPT,BFO
291420421,1138361,BANKEX26JUL62000CE,"BANKEX",0,2026-07-30,62000,0.05,30,CE,BFO-OPT,BFO
292143621,1141186,BANKEX26JUL62000PE,"BANKEX",0,2026-07-30,62000,0.05,30,PE,BFO-OPT,BFO
292996869,1144519,BANKEX26JUL61900CE,"BANKEX",0,2026-07-30,61900,0.05,30,CE,BFO-OPT,BFO
293914373,1148103,BANKEX26JUL61900PE,"BANKEX",0,2026-07-30,61900,0.05,30,PE,BFO-OPT,BFO
291849477,1140037,BANKEX26JUL61800CE,"BANKEX",0,2026-07-30,61800,0.05,30,CE,BFO-OPT,BFO
292492037,1142547,BANKEX26JUL61800PE,"BANKEX",0,2026-07-30,61800,0.05,30,PE,BFO-OPT,BFO
292706821,1143386,BANKEX26JUL61700CE,"BANKEX",0,2026-07-30,61700,0.05,30,CE,BFO-OPT,BFO
293564933,1146738,BANKEX26JUL61700PE,"BANKEX",0,2026-07-30,61700,0.05,30,PE,BFO-OPT,BFO
292268805,1141675,BANKEX26JUL61600PE,"BANKEX",0,2026-07-30,61600,0.05,30,PE,BFO-OPT,BFO
293739781,1147421,BANKEX26JUL61600CE,"BANKEX",0,2026-07-30,61600,0.05,30,CE,BFO-OPT,BFO
292387589,1142139,BANKEX26JUL61500CE,"BANKEX",0,2026-07-30,61500,0.05,30,CE,BFO-OPT,BFO
293293829,1145679,BANKEX26JUL61500PE,"BANKEX",0,2026-07-30,61500,0.05,30,PE,BFO-OPT,BFO
293422853,1146183,BANKEX26JUL61400CE,"BANKEX",0,2026-07-30,61400,0.05,30,CE,BFO-OPT,BFO
